episode,mean_reward,baseline_reward,lie_rate,truth_rate,twist_rate,vote_lowest_trust,vote_highest_threat,vote_random,trust_dispersion
68,0.4107,0.4275,0.0,0.6667,0.3333,0.3333,0.2222,0.4444,0.0
69,0.4464,0.4278,0.0,0.8889,0.1111,0.3333,0.1111,0.5556,0.0
70,0.4405,0.428,0.3333,0.6667,0.0,0.4444,0.4444,0.1111,0.0
71,0.3869,0.4274,0.3333,0.5556,0.1111,0.3333,0.3333,0.3333,0.0
72,0.4167,0.4272,0.1111,0.5556,0.3333,0.4444,0.1111,0.4444,0.0444
73,0.3988,0.4268,0.3333,0.3333,0.3333,0.5556,0.2222,0.2222,0.1111
74,0.4286,0.4269,0.3333,0.6667,0.0,0.7778,0.2222,0.0,0.0444
75,0.3988,0.4265,0.1111,0.4444,0.4444,0.1111,0.4444,0.4444,0.0889
76,0.3869,0.426,0.3333,0.6667,0.0,0.4444,0.4444,0.1111,0.1111
77,0.4226,0.4259,0.1111,0.7778,0.1111,0.2222,0.6667,0.1111,0.0444
78,0.4226,0.4259,0.2222,0.5556,0.2222,0.5556,0.2222,0.2222,0.0444
79,0.4226,0.4258,0.2222,0.5556,0.2222,0.3333,0.3333,0.3333,0.0889
80,0.4762,0.4265,0.3333,0.5556,0.1111,0.3333,0.4444,0.2222,0.0889
81,0.3631,0.4257,0.4444,0.3333,0.2222,0.3333,0.3333,0.3333,0.1111
82,0.4464,0.4259,0.3333,0.5556,0.1111,0.2222,0.2222,0.5556,0.0444
83,0.4524,0.4263,0.1111,0.6667,0.2222,0.3333,0.3333,0.3333,0.1111
84,0.4464,0.4265,0.0,0.7778,0.2222,0.3333,0.3333,0.3333,0.0889
85,0.4405,0.4267,0.2222,0.6667,0.1111,0.3333,0.3333,0.3333,0.1333
86,0.3869,0.4262,0.2222,0.5556,0.2222,0.2222,0.2222,0.5556,0.0
87,0.4405,0.4264,0.1111,0.6667,0.2222,0.5556,0.2222,0.2222,0.0667
88,0.3928,0.426,0.0,0.8889,0.1111,0.3333,0.2222,0.4444,0.0
89,0.4524,0.4263,0.4444,0.4444,0.1111,0.4444,0.4444,0.1111,0.1111
90,0.4643,0.4267,0.4444,0.3333,0.2222,0.2222,0.4444,0.3333,0.1111
91,0.4583,0.4271,0.1111,0.7778,0.1111,0.2222,0.1111,0.6667,0.0444
92,0.4524,0.4273,0.1111,0.7778,0.1111,0.3333,0.5556,0.1111,0.1111
93,0.4762,0.4279,0.1111,0.6667,0.2222,0.2222,0.4444,0.3333,0.1333
94,0.3631,0.4272,0.2222,0.6667,0.1111,0.3333,0.3333,0.3333,0.1111
95,0.4464,0.4274,0.3333,0.5556,0.1111,0.3333,0.0,0.6667,0.0444
96,0.4167,0.4273,0.2222,0.4444,0.3333,0.0,0.3333,0.6667,0.0444
97,0.4226,0.4272,0.1111,0.6667,0.2222,0.3333,0.1111,0.5556,0.0
